Date,Calories (kcal),Distance (m),Average heart rate (bpm),Max heart rate (bpm),Min heart rate (bpm),Low latitude (deg),Low longitude (deg),High latitude (deg),High longitude (deg),Average speed (m/s),Max speed (m/s),Min speed (m/s),Step count,Average weight (kg),Max weight (kg),Min weight (kg),Biking duration (ms),Inactive duration (ms),Walking duration (ms),Running duration (ms),Treadmill duration (ms),Light sleeping duration (ms),Deep sleeping duration (ms),Awake mid-sleeping duration (ms)
2014-12-06,,34603.31640625,,,,-23.592544555664062,-46.76675796508789,-23.52430534362793,-46.642784118652344,5.2395243644714355,24.070051193237305,0.5658621191978455,2857,,,,,76216684,1728345,,,,,
2014-12-07,,30696.77734375,,,,-23.592666625976562,-46.767276763916016,-23.52646827697754,-46.647457122802734,6.982508182525635,23.27001953125,1.720465064048767,1106,,,,,79342476,300137,,,,,
2014-12-08,,22925.552734375,,,,-23.58642578125,-46.73208999633789,-23.55252456665039,-46.647029876708984,2.0403363704681396,22.21014404296875,0.5032891631126404,2711,,,,,68163031,2093677,,,,,
2014-12-09,,26165.24609375,,,,-23.585792541503906,-46.7308235168457,-23.524051666259766,-46.64629364013672,2.4453091621398926,16.870241165161133,0.5103920102119446,2176,,,,,79879259,1242925,,,,,
2014-12-10,,21510.18359375,,,,-23.591371536254883,-46.731021881103516,-23.56187629699707,-46.64760208129883,1.7783012390136719,15.920907974243164,0.6224146485328674,1951,,,,,79202226,1151576,,,,,
2014-12-11,,24975.470703125,,,,-23.58611297607422,-46.73064041137695,-23.55569076538086,-46.64613723754883,2.6352574825286865,16.9300479888916,0.5124451518058777,3418,,,,,75675231,1717888,211698,,,,
2014-12-12,,25810.884765625,,,,-23.585853576660156,-46.734092712402344,-23.55474853515625,-46.64702224731445,3.1960885524749756,16.65999984741211,0.5203844904899597,3171,,,,,77797264,2106400,,,,,
2014-12-13,,21677.185546875,,,,-23.59050178527832,-46.73019790649414,-23.56419563293457,-46.64636993408203,3.11552095413208,17.657079696655273,0.5099999904632568,706,,,,,82036793,388561,,,,,
2014-12-14,,24313.0234375,,,,-23.596057891845703,-46.71147537231445,-23.53230857849121,-46.631980895996094,7.395034313201904,16.12100601196289,2.2638463973999023,1966,,,,,77755651,1021060,,,,,
2014-12-15,,20727.87109375,,,,-23.590730667114258,-46.73098373413086,-23.56402587890625,-46.64606475830078,2.7761096954345703,14.270172119140625,0.5239274501800537,2359,,,,,80515745,1173357,,,,,
2014-12-16,,26150.0,,,,-23.590789794921875,-46.73210906982422,-23.5509033203125,-46.640811920166016,2.89695405960083,18.280099868774414,0.5738466382026672,1657,,,,,79913085,1214541,,,,,
2014-12-17,,21795.109375,,,,-23.583606719970703,-46.73347091674805,-23.55837059020996,-46.64667892456055,2.8749313354492188,12.377208709716797,0.5069516897201538,1924,,,,,80801997,1236368,,,,,
2014-12-18,,21762.88671875,,,,-23.586074829101562,-46.73080062866211,-23.562705993652344,-46.646732330322266,2.6311094760894775,14.001428604125977,0.5008991360664368,1880,,,,,79970753,1167143,,,,,
2014-12-19,,58249.8203125,,,,-23.58677864074707,-46.78730392456055,-23.52134132385254,-46.6318473815918,3.627875328063965,21.590280532836914,0.530377209186554,3348,,,,,67897763,1447816,,,,,
2014-12-20,,22168.185546875,,,,-23.590543746948242,-46.775333404541016,-23.52169418334961,-46.646827697753906,3.1591477394104004,23.100004196166992,0.5,1642,,,,,79755403,504913,,,,,
2014-12-21,,2580.39697265625,,,,-23.529497146606445,-46.767215728759766,-23.52887725830078,-46.76640701293945,1.5859739780426025,5.120038986206055,0.5008991956710815,363,,,,,85422725,,,,,,
2014-12-22,,10189.29296875,,,,-23.540828704833984,-46.774017333984375,-23.52377700805664,-46.76617431640625,2.0309643745422363,9.494129180908203,0.504777193069458,1836,,,,,75688263,378421,,,,,
2014-12-23,,34118.05078125,,,,-23.628894805908203,-46.77400207519531,-23.528955459594727,-46.6453971862793,3.507993698120117,19.40057945251465,0.5099999904632568,2846,,,,,76630715,1363470,,,,,
2014-12-24,,296324.71875,,,,-23.57050323486328,-47.614959716796875,-21.46287727355957,-46.630184173583984,7.3689093589782715,32.81022262573242,0.6929646730422974,2694,,,,,55644112,441941,,,,,
2014-12-25,,6053.4775390625,,,,-21.48439598083496,-47.55922317504883,-21.475561141967773,-47.554107666015625,2.025998830795288,7.720025539398193,0.5333853960037231,2373,,,,,81151624,906943,,,,,
2014-12-26,,278443.96875,,,,-23.57045555114746,-47.62776565551758,-21.475656509399414,-46.64500427246094,8.088109970092773,34.840023040771484,0.6797794103622437,1087,,,,,71824829,117287,,,,,
2014-12-27,,23791.57421875,,,,-23.571182250976562,-46.77920150756836,-23.521488189697266,-46.64723587036133,2.637996196746826,24.050350189208984,0.5800861716270447,1734,,,,,81830568,510615,,,,,
2014-12-28,,15936.337890625,,,,-23.573179244995117,-46.767173767089844,-23.52704429626465,-46.647254943847656,2.1260173320770264,24.340593338012695,0.5,545,,,,,83304990,137630,,,,,
2014-12-29,,35708.0625,,,,-23.591381072998047,-46.774471282958984,-23.521427154541016,-46.64219284057617,10.25885009765625,23.320018768310547,1.7763445377349854,2626,,,,,79940198,1668514,,,,,
2014-12-30,,40527.67578125,,,,-23.59096336364746,-46.779510498046875,-23.522062301635742,-46.64705276489258,3.9082326889038086,25.213016510009766,0.5632051229476929,2067,,,,,77145536,677100,,,,,
2014-12-31,,20117.80859375,,,,-23.590330123901367,-46.77707290649414,-23.521324157714844,-46.645606994628906,6.017255783081055,26.60000228881836,0.6747592091560364,1158,,,,,82818239,256268,,,,,
2015-01-01,,628.2232666015625,,,,-23.529598236083984,-46.766910552978516,-23.529014587402344,-46.76655197143555,1.2250924110412598,1.7201162576675415,0.7300685048103333,973,,,,,84962461,84981,,,,,
2015-01-02,,16722.4921875,,,,-23.590938568115234,-46.766971588134766,-23.524951934814453,-46.64754867553711,7.626109600067139,24.040075302124023,2.2343008518218994,720,,,,,83674016,211841,,,,,
2015-01-03,,15508.9794921875,,,,-23.57059097290039,-46.76725769042969,-23.523038864135742,-46.64616394042969,4.981212615966797,26.680421829223633,0.6140033006668091,254,,,,,86273655,126345,,,,,
2015-01-04,,15623.1728515625,,,,-23.571170806884766,-46.76703643798828,-23.527080535888672,-46.647483825683594,7.29749059677124,25.52003288269043,0.6171709895133972,1191,,,,,82825468,89551,,,,,
2015-01-05,,24629.107421875,,,,-23.59100914001465,-46.73123550415039,-23.542125701904297,-46.64524841308594,2.8633406162261963,17.36048698425293,0.5299999713897705,1193,,,,,79973507,578123,,,,,
2015-01-06,,17665.2578125,,,,-23.590436935424805,-46.76701736450195,-23.528484344482422,-46.646629333496094,2.7773523330688477,17.190746307373047,0.5,853,,,,,82763820,322311,,,,,
2015-01-07,,46546.40234375,,,,-23.572416305541992,-46.77809524536133,-23.522171020507812,-46.64745330810547,3.261814832687378,21.260000228881836,0.5930429697036743,1004,,,,,77575178,436968,,,,,
2015-01-08,,22777.994140625,,,,-23.59055519104004,-46.73081588745117,-23.55403709411621,-46.645503997802734,2.666591167449951,16.760107040405273,0.5099019408226013,2012,,,,,79229690,748449,,,,,
2015-01-09,,30778.642578125,,,,-23.588748931884766,-46.769676208496094,-23.527864456176758,-46.645511627197266,3.9060964584350586,14.70440673828125,0.5315072536468506,1626,,,,,78236480,475880,,,,,
2015-01-10,,40280.0078125,,,,-23.634241104125977,-46.77363967895508,-23.528989791870117,-46.64616012573242,3.9593842029571533,19.060441970825195,0.5147814750671387,1903,,,,,75771977,784264,,,,,
2015-01-11,,36405.4453125,,,,-23.590625762939453,-46.775699615478516,-23.521875381469727,-46.64725112915039,3.8184196949005127,25.65175437927246,0.6082762479782104,976,,,,,82350372,377999,,,,,
2015-01-12,,22229.3671875,,,,-23.591428756713867,-46.73014831542969,-23.563812255859375,-46.64590072631836,3.1045823097229004,18.251325607299805,0.5580322742462158,914,,,,,81630840,306035,,,,,
2015-01-13,,22217.0078125,,,,-23.59112548828125,-46.730220794677734,-23.562559127807617,-46.646156311035156,2.0276520252227783,18.430133819580078,0.5614267587661743,1796,,,,,80967570,677412,,,,,
2015-01-14,,22349.125,,,,-23.589691162109375,-46.73116683959961,-23.554649353027344,-46.64557647705078,1.50301194190979,17.144210815429688,0.5178802609443665,1744,,,,,81690764,1080594,,,,,
2015-01-15,,18953.22265625,,,,-23.587739944458008,-46.76699447631836,-23.52882194519043,-46.6456184387207,1.9446349143981934,13.860032081604004,0.5315072536468506,1846,,,,,80800679,1112807,,,,,
2015-01-16,,24361.318359375,,,,-23.586406707763672,-46.785606384277344,-23.52204132080078,-46.64622497558594,2.2385506629943848,17.11001205444336,0.5199999809265137,2402,,,,,79015674,1426987,,,,,
2015-01-17,,39571.22265625,,,,-23.59136199951172,-46.779762268066406,-23.522109985351562,-46.64544677734375,3.438467025756836,26.03355598449707,0.8462859988212585,878,,,,,78008437,354265,,,,,
2015-01-18,,311448.59375,,,,-23.57428550720215,-47.61869430541992,-21.4661808013916,-46.645599365234375,6.094747066497803,32.331485748291016,0.5,3253,,,,,61020351,1519339,,,,,
2015-01-19,,4855.5849609375,,,,-21.485572814941406,-47.557159423828125,-21.475797653198242,-47.55451202392578,1.1610409021377563,6.104334354400635,0.5011985301971436,2833,,,,,82275852,1204954,,,,,
2015-01-20,,5108.0009765625,,,,-21.483469009399414,-47.55919647216797,-21.475643157958984,-47.554359436035156,1.5305979251861572,9.151070594787598,0.5203844904899597,1531,,,,,73509335,419925,,,,,
2015-01-21,,274062.96875,,,,-23.586761474609375,-47.64246368408203,-21.47565460205078,-46.64838790893555,7.527059555053711,31.240001678466797,0.5015974640846252,2297,,,,,66741792,806295,,,,,
